"match_id","referee","referee_cards_per_match","referee_penalties_per_match","temperature_c","humidity_pct","wind_kph","precipitation_mm","weather_forecast_time","weather_status","altitude_m","roof_type","home_rest_hours","away_rest_hours","home_travel_km","away_travel_km","home_lineup_adjustment","away_lineup_adjustment","home_motivation_adjustment","away_motivation_adjustment","home_rest_adjustment","away_rest_adjustment","weather_goal_adjustment","referee_goal_adjustment","motivation_basis","notes","source_urls","verified_at"
"1","Wilton Sampaio","3.00","","22.6","53","2.5","0.7","2026-06-11T19:00","open_meteo_recent_hourly","2240","open","","","0","0","0.000","0.000","0.000","0.050","0.000","0.000","0.000","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment imported; historical style metrics pending","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials; https://open-meteo.com/","2026-06-18T05:42:46.823Z"
"2","","","","21","77","11.6","0","2026-06-12T02:00","open_meteo_recent_hourly","1560","open","","","0","0","0.000","0.000","0.000","0.050","0.000","0.000","0.000","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment pending","https://open-meteo.com/","2026-06-18T05:42:46.833Z"
"3","Facundo Tello","5.00","","26.4","56","22.3","0","2026-06-12T16:00","open_meteo_recent_hourly","76","open","","","0","0","0.000","0.000","0.020","0.020","0.000","0.000","0.000","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment imported; historical style metrics pending","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials; https://open-meteo.com/","2026-06-18T05:42:46.833Z"
"4","Danny Makkelie","6.00","","21","84","0.8","0","2026-06-12T16:00","open_meteo_recent_hourly","40","covered_open_sides","","","0","0","0.000","0.000","0.000","0.050","0.000","0.000","0.000","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment imported; historical style metrics pending","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials; https://open-meteo.com/","2026-06-18T05:42:46.837Z"
"5","Saíd Martínez","3.00","","16.1","91","8","0","2026-06-13T16:00","open_meteo_recent_hourly","12","open","","","0","0","0.000","0.000","0.020","0.020","0.000","0.000","0.000","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment imported; historical style metrics pending","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials; https://open-meteo.com/","2026-06-18T05:42:46.838Z"
"6","Slavko Vinčić","2.00","","28.7","45","4.5","0","2026-06-13T16:00","open_meteo_recent_hourly","2","open","","","0","0","0.000","0.000","0.020","0.020","0.000","0.000","0.000","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment imported; historical style metrics pending","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials; https://open-meteo.com/","2026-06-18T05:42:46.839Z"
"7","Mustapha Ghorbal","","","27.6","41","13.5","0","2026-06-13T16:00","open_meteo_recent_hourly","90","open","","","0","0","0.000","0.000","0.000","0.050","0.000","0.000","0.000","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment imported; historical style metrics pending","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials; https://open-meteo.com/","2026-06-18T05:42:46.839Z"
"8","","","","20.2","72","1.8","0","2026-06-14T16:00","open_meteo_recent_hourly","15","retractable_roof","","","0","0","0.000","0.000","0.000","0.050","0.000","0.000","0.000","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment pending","https://open-meteo.com/","2026-06-18T05:42:46.840Z"
"9","Jalal Jayed","0.00","","29.1","91","11.3","0","2026-06-14T16:00","open_meteo_recent_hourly","15","retractable_roof","","","0","0","0.000","0.000","0.000","0.050","0.000","0.000","0.000","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment imported; historical style metrics pending","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials; https://open-meteo.com/","2026-06-18T05:42:46.840Z"
"10","Ismail Elfath","3.00","","23.9","86","16.2","0","2026-06-14T16:00","open_meteo_recent_hourly","170","retractable_roof","","","0","0","0.000","0.000","0.020","0.020","0.000","0.000","0.000","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment imported; historical style metrics pending","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials; https://open-meteo.com/","2026-06-18T05:42:46.841Z"
"11","François Letexier","4.00","","31.1","51","17.7","0","2026-06-14T16:00","open_meteo_recent_hourly","6","open","","","0","0","0.000","0.000","0.000","0.050","0.000","0.000","-0.060","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment imported; historical style metrics pending","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials; https://open-meteo.com/","2026-06-18T05:42:46.841Z"
"12","Yael Falcón","1.00","","28.7","72","10.4","0","2026-06-14T16:00","open_meteo_recent_hourly","540","open","","","0","0","0.000","0.000","0.000","0.050","0.000","0.000","0.000","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment imported; historical style metrics pending","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials; https://open-meteo.com/","2026-06-18T05:42:46.842Z"
"13","Adham Makhadmeh","","","25.9","59","15.4","0","2026-06-15T16:00","open_meteo_recent_hourly","310","retractable_roof","","","0","0","0.000","0.000","0.020","0.020","0.000","0.000","0.000","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment imported; historical style metrics pending","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials; https://open-meteo.com/","2026-06-18T05:42:46.842Z"
"14","Ramon Abatti","4.00","","22.8","58","4.4","0","2026-06-15T16:00","open_meteo_recent_hourly","8","partial_roof","","","0","0","0.000","0.000","0.020","0.020","0.000","0.000","0.000","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment imported; historical style metrics pending","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials; https://open-meteo.com/","2026-06-18T05:42:46.843Z"
"15","Maurizio Mariani","1.00","","32.4","60","10.3","0","2026-06-15T16:00","open_meteo_recent_hourly","2","canopy","","","0","0","0.000","0.000","0.020","0.020","0.000","0.000","-0.060","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment imported; historical style metrics pending","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials; https://open-meteo.com/","2026-06-18T05:42:46.843Z"
"16","César Arturo Ramos","1.00","","19.8","83","5.5","0","2026-06-15T16:00","open_meteo_recent_hourly","40","covered_open_sides","","","0","0","0.000","0.000","0.020","0.020","0.000","0.000","0.000","","standings_snapshot_2026-06-18_dynamic_refresh_required","referee assignment imported; historical style metrics pending","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials; https://open-meteo.com/","2026-06-18T05:42:46.843Z"
