"team","squad_number","player_name","player_name_zh","player_name_zh_status","wikipedia_title","position","date_of_birth","club","club_country","caps","goals","squad_status","availability","source_url","verified_at"
"Mexico","1","Raúl Rangel","","missing_zh_label","Raúl_Rangel_(footballer)","GK","2000-02-25","Guadalajara","Mexican Football Federation","14","0","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","2","Jorge Sánchez","豪尔赫·桑切斯","wikidata_zh_label","Jorge_Sánchez_(footballer,_born_1997)","DF","1997-12-10","PAOK","Hellenic Football Federation","59","3","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","3","César Montes","塞薩爾·蒙德斯","wikidata_zh_label","César_Montes","DF","1997-02-24","Lokomotiv Moscow","Russian Football Union","67","4","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","4","Edson Álvarez","埃德松·阿尔瓦雷斯","wikidata_zh_label","Edson_Álvarez","DF","1997-10-24","Fenerbahçe","Turkish Football Federation","98","7","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","5","Johan Vásquez","约翰·瓦斯奎兹","wikidata_zh_label","Johan_Vásquez_(footballer,_born_1998)","DF","1998-10-22","Genoa","Italian Football Federation","46","3","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","6","Érik Lira","","missing_zh_label","Érik_Lira","MF","2000-05-08","Cruz Azul","Mexican Football Federation","25","0","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","7","Luis Romo","路易斯·羅莫","wikidata_zh_label","Luis_Romo","MF","1995-06-05","Guadalajara","Mexican Football Federation","63","4","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","8","Álvaro Fidalgo","","missing_zh_label","Álvaro_Fidalgo","MF","1997-04-09","Real Betis","Royal Spanish Football Federation","4","0","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","9","Raúl Jiménez","劳尔·吉梅内斯","wikidata_zh_label","Raúl_Jiménez","FW","1991-05-05","Fulham","The Football Association","124","45","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","10","Alexis Vega","亞歷克西斯·維加","wikidata_zh_label","Alexis_Vega_(Mexican_footballer)","FW","1997-11-25","Toluca","Mexican Football Federation","52","7","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","11","Santiago Giménez","圣地亚哥·希门尼斯","wikidata_zh_label","Santiago_Giménez","FW","2001-04-18","Milan","Italian Football Federation","47","6","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","12","Carlos Acevedo","卡洛斯·阿塞維多","wikidata_zh_label","Carlos_Acevedo","GK","1996-04-19","Santos Laguna","Mexican Football Federation","7","0","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","13","Guillermo Ochoa","吉列尔莫·奥乔亚","wikidata_zh_label","Guillermo_Ochoa","GK","1985-07-13","AEL Limassol","Cyprus Football Association","152","0","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","14","Armando González","","missing_zh_label","Armando_González_(footballer,_born_2003)","FW","2003-04-20","Guadalajara","Mexican Football Federation","7","1","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","15","Israel Reyes","以瑟雷·雷耶斯","wikidata_zh_label","Israel_Reyes","DF","2000-05-23","América","Mexican Football Federation","34","2","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","16","Julián Quiñones","胡利安·基尼奥内斯","wikidata_zh_label","Julián_Quiñones","FW","1997-03-24","Al-Qadsiah","Saudi Arabian Football Federation","22","2","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
"Mexico","17","Orbelín Pineda","奧博林·皮內達","wikidata_zh_label","Orbelín_Pineda","MF","1996-03-24","AEK Athens","Hellenic Football Federation","92","12","final_squad","available_unless_updated","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads","2026-06-18T03:44:21.947Z"
