"referee_name","referee_name_zh","nationality","confederation","assistant_referees","matches_assigned","fourth_official_assignments","historical_matches","yellow_cards_per_match","red_cards_per_match","penalties_per_match","fouls_per_match","home_win_rate","style_tags","stats_source_url","appointment_source_url","verified_at","status"
"Confederation","","","","Referees","Assistant referees","Matches assigned","","","","","","","","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.493Z","appointed_official_stats_pending"
"Omar Al Ali",""," United Arab Emirates ","AFC","Mohamed Al-Hammadi ( United Arab Emirates )","","","","","","","","","","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.497Z","appointed_official_stats_pending"
"Abdulrahman Al-Jassim",""," Qatar ","AFC","Taleb Al-Marri ( Qatar ); Saud Al-Maqaleh ( Qatar )","Portugal–DR Congo ( Group K )","","1","4.00","0.00","","","","tournament_sample_low_confidence","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.497Z","tournament_sample_1_career_stats_pending"
"Khalid Al-Turais",""," Saudi Arabia ","AFC","Mohammed Al-Bakry ( Saudi Arabia )","","Canada–Bosnia and Herzegovina ( Group B ); Ivory Coast–Ecuador ( Group E ); Ghana–Panama ( Group L ); Germany–Ivory Coast ( Group E )","","","","","","","","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.497Z","appointed_official_stats_pending"
"Alireza Faghani",""," Australia ","AFC","George Lakrindis ( Australia ); James Lindsay ( Australia )","France–Senegal ( Group I )","","1","0.00","0.00","","","","tournament_sample_low_confidence","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.497Z","tournament_sample_1_career_stats_pending"
"Ma Ning",""," China ","AFC","Zhou Fei ( China )","Ecuador–Curaçao ( Group E )","","","","","","","","","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.497Z","appointed_official_stats_pending"
"Adham Makhadmeh",""," Jordan ","AFC","Mohammad Al-Kalaf ( Jordan ); Ahmad Al-Roalle ( Jordan )","Spain–Cape Verde ( Group H )","Scotland–Morocco ( Group C )","","","","","","","","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.497Z","appointed_official_stats_pending"
"Ilgiz Tantashev",""," Uzbekistan ","AFC","Timur Gaynullin ( Uzbekistan ); Andrey Tsapenko ( Uzbekistan )","Scotland–Morocco ( Group C )","","","","","","","","","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.497Z","appointed_official_stats_pending"
"Yusuke Araki",""," Japan ","AFC","Jun Mihara  [ ja ] ( Japan )","","United States–Paraguay ( Group D ); Iran–New Zealand ( Group G ); Switzerland–Bosnia and Herzegovina ( Group B )","","","","","","","","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.497Z","appointed_official_stats_pending"
"Pierre Atcho",""," Gabon ","CAF","Boris Ditsoga ( Gabon ); Amos Abeigne Ndong ( Gabon )","Iraq–Norway ( Group I )","","","","","","","","","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.498Z","appointed_official_stats_pending"
"Dahane Beida",""," Mauritania ","CAF","Jerson Emiliano dos Santos ( Angola ); Elvis Noupue ( Cameroon )","Austria–Jordan ( Group J )","","1","1.00","0.00","","","","tournament_sample_low_confidence","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.498Z","tournament_sample_1_career_stats_pending"
"Mustapha Ghorbal",""," Algeria ","CAF","Mokrane Gourari ( Algeria ); Abbes Akram Zerhouni ( Algeria )","Haiti–Scotland ( Group C )","","","","","","","","","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.498Z","appointed_official_stats_pending"
"Jalal Jayed",""," Morocco ","CAF","Zakaria Brinsi ( Morocco ); Mostafa Akarkad ( Morocco )","Germany–Curaçao ( Group E )","","1","0.00","0.00","","","","tournament_sample_low_confidence","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.498Z","tournament_sample_1_career_stats_pending"
"Amin Omar",""," Egypt ","CAF","Mahmoud Abouregal ( Egypt ); Ahmed Hossam Taha ( Egypt )","South Korea–Czech Republic ( Group A )","Iraq–Norway ( Group I )","","","","","","","","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.498Z","appointed_official_stats_pending"
"Abongile Tom",""," South Africa ","CAF","Zakhele Siwela ( South Africa )","","Germany–Curaçao ( Group E ); Portugal–DR Congo ( Group K ); Netherlands–Sweden ( Group F )","","","","","","","","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.498Z","appointed_official_stats_pending"
"Iván Barton",""," El Salvador ","CONCACAF","David Morán ( El Salvador ); Henry Pupiro ( Nicaragua )","Turkey–Paraguay ( Group D )","","","","","","","","","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.498Z","appointed_official_stats_pending"
"Juan Gabriel Calderón",""," Costa Rica ","CONCACAF","Juan Carlos Mora ( Costa Rica )","","Sweden–Tunisia ( Group F ); Uzbekistan–Colombia ( Group K ); Tunisia–Japan ( Group F )","","","","","","","","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_officials","2026-06-18T03:39:03.498Z","appointed_official_stats_pending"
