"team","role","staff_name","nationality","source_url","source_as_of","verified_at","status"
"Mexico","Head coach","Javier Aguirre","Mexico","https://en.wikipedia.org/wiki/Mexico_national_football_team","22 July 2024","2026-06-18T03:57:13.930Z","secondary_source_requires_federation_confirmation"
"Mexico","Assistant coach","Rafael Márquez","Mexico","https://en.wikipedia.org/wiki/Mexico_national_football_team","22 July 2024","2026-06-18T03:57:13.931Z","secondary_source_requires_federation_confirmation"
"Mexico","Assistant coach","Toni Amor","Spain","https://en.wikipedia.org/wiki/Mexico_national_football_team","22 July 2024","2026-06-18T03:57:13.931Z","secondary_source_requires_federation_confirmation"
"Mexico","Goalkeeping coach","Joseba Ituarte","Spain","https://en.wikipedia.org/wiki/Mexico_national_football_team","22 July 2024","2026-06-18T03:57:13.931Z","secondary_source_requires_federation_confirmation"
"South Africa","Team Manager","Vincent Tseka","South Africa","https://en.wikipedia.org/wiki/South_Africa_national_soccer_team","","2026-06-18T03:57:15.309Z","secondary_source_requires_federation_confirmation"
"South Africa","Head coach","Hugo Broos","Belgium","https://en.wikipedia.org/wiki/South_Africa_national_soccer_team","","2026-06-18T03:57:15.309Z","secondary_source_requires_federation_confirmation"
"South Africa","Assistant Coach","Helman Mkhalele","South Africa","https://en.wikipedia.org/wiki/South_Africa_national_soccer_team","","2026-06-18T03:57:15.309Z","secondary_source_requires_federation_confirmation"
"South Africa","Goalkeeper Coach","Grant Johnson","South Africa","https://en.wikipedia.org/wiki/South_Africa_national_soccer_team","","2026-06-18T03:57:15.309Z","secondary_source_requires_federation_confirmation"
"South Africa","Team Organiser","David Molwantwa","South Africa","https://en.wikipedia.org/wiki/South_Africa_national_soccer_team","","2026-06-18T03:57:15.309Z","secondary_source_requires_federation_confirmation"
"South Korea","Head coach","Hong Myung-bo","South Korea","https://en.wikipedia.org/wiki/South_Korea_national_football_team","18 November 2025","2026-06-18T03:57:17.699Z","secondary_source_requires_federation_confirmation"
"South Korea","Coaches","Kim Jin-kyu","South Korea","https://en.wikipedia.org/wiki/South_Korea_national_football_team","18 November 2025","2026-06-18T03:57:17.699Z","secondary_source_requires_federation_confirmation"
"South Korea","Goalkeeping coach","Pedro Roma","Portugal","https://en.wikipedia.org/wiki/South_Korea_national_football_team","18 November 2025","2026-06-18T03:57:17.699Z","secondary_source_requires_federation_confirmation"
"Czechia","Assistant coach","Jan Rezek","Czech Republic","https://en.wikipedia.org/wiki/Czech_Republic_national_football_team","","2026-06-18T03:57:19.046Z","secondary_source_requires_federation_confirmation"
"Czechia","Goalkeeping coach","Matúš Kozáčik","Czech Republic","https://en.wikipedia.org/wiki/Czech_Republic_national_football_team","","2026-06-18T03:57:19.046Z","secondary_source_requires_federation_confirmation"
