match_id,stage,group,date,time,time_zone,home,away,home_score,away_score,status,venue,city
1,Group stage,A,2026-06-11,15:00,ET,Mexico,South Africa,2,0,finished,Estadio Azteca,Mexico City
2,Group stage,A,2026-06-11,22:00,ET,South Korea,Czechia,2,1,finished,Estadio Akron,Guadalajara
3,Group stage,B,2026-06-12,,ET,Canada,Bosnia and Herzegovina,1,1,finished,BMO Field,Toronto
4,Group stage,D,2026-06-12,,ET,United States,Paraguay,4,1,finished,SoFi Stadium,Inglewood
5,Group stage,B,2026-06-13,,ET,Qatar,Switzerland,1,1,finished,Levi's Stadium,Santa Clara
6,Group stage,C,2026-06-13,,ET,Brazil,Morocco,1,1,finished,MetLife Stadium,East Rutherford
7,Group stage,C,2026-06-13,,ET,Scotland,Haiti,1,0,finished,Gillette Stadium,Foxborough
8,Group stage,D,2026-06-14,,ET,Australia,Türkiye,2,0,finished,BC Place,Vancouver
9,Group stage,E,2026-06-14,,ET,Germany,Curaçao,7,1,finished,NRG Stadium,Houston
10,Group stage,F,2026-06-14,,ET,Netherlands,Japan,2,2,finished,AT&T Stadium,Arlington
11,Group stage,E,2026-06-14,,ET,Ivory Coast,Ecuador,1,0,finished,Lincoln Financial Field,Philadelphia
12,Group stage,F,2026-06-14,,ET,Sweden,Tunisia,5,1,finished,Estadio BBVA,Guadalupe
13,Group stage,H,2026-06-15,,ET,Spain,Cabo Verde,0,0,finished,Mercedes-Benz Stadium,Atlanta
14,Group stage,G,2026-06-15,,ET,Belgium,Egypt,1,1,finished,Lumen Field,Seattle
15,Group stage,H,2026-06-15,,ET,Saudi Arabia,Uruguay,1,1,finished,Hard Rock Stadium,Miami Gardens
16,Group stage,G,2026-06-15,,ET,Iran,New Zealand,2,2,finished,SoFi Stadium,Inglewood
17,Group stage,I,2026-06-16,,ET,France,Senegal,3,1,finished,MetLife Stadium,East Rutherford
18,Group stage,I,2026-06-16,,ET,Norway,Iraq,4,1,finished,Gillette Stadium,Foxborough
19,Group stage,J,2026-06-16,,ET,Argentina,Algeria,3,0,finished,Arrowhead Stadium,Kansas City
20,Group stage,J,2026-06-17,,ET,Austria,Jordan,3,1,finished,Levi's Stadium,Santa Clara
21,Group stage,K,2026-06-17,,ET,Portugal,DR Congo,1,1,finished,NRG Stadium,Houston
22,Group stage,L,2026-06-17,,ET,England,Croatia,4,2,finished,AT&T Stadium,Arlington
23,Group stage,L,2026-06-17,,ET,Ghana,Panama,1,0,finished,BMO Field,Toronto
24,Group stage,K,2026-06-17,22:00,ET,Uzbekistan,Colombia,,,live_or_pending,Estadio Azteca,Mexico City
25,Group stage,A,2026-06-18,12:00,ET,Czechia,South Africa,,,scheduled,Mercedes-Benz Stadium,Atlanta
26,Group stage,B,2026-06-18,15:00,ET,Switzerland,Bosnia and Herzegovina,,,scheduled,SoFi Stadium,Inglewood
27,Group stage,B,2026-06-18,18:00,ET,Canada,Qatar,,,scheduled,BC Place,Vancouver
28,Group stage,A,2026-06-18,21:00,ET,Mexico,South Korea,,,scheduled,Estadio Akron,Guadalajara
29,Group stage,D,2026-06-19,15:00,ET,United States,Australia,,,scheduled,Lumen Field,Seattle
