"match_id","date","group","home","away","score","actual_result","pre_match_home_pct","pre_match_draw_pct","pre_match_away_pct","actual_result_pre_match_pct","classification","classification_basis","caveat"
"1","2026-06-11","A","Mexico","South Africa","2-0","H","72.3","20.1","7.6","72.3","正常赛果 / Expected result","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"2","2026-06-11","A","South Korea","Czechia","2-1","H","48.2","25.7","26.1","48.2","正常赛果 / Expected result","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"3","2026-06-12","B","Canada","Bosnia and Herzegovina","1-1","D","67.1","21.2","11.6","21.2","中等爆冷 / Moderate upset","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"4","2026-06-12","D","United States","Paraguay","4-1","H","61.4","22.6","16.0","61.4","正常赛果 / Expected result","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"5","2026-06-13","B","Qatar","Switzerland","1-1","D","14.0","22.0","64.0","22.0","中等爆冷 / Moderate upset","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"6","2026-06-13","C","Brazil","Morocco","1-1","D","36.4","28.8","34.8","28.8","中等爆冷 / Moderate upset","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"7","2026-06-13","C","Scotland","Haiti","1-0","H","65.2","21.7","13.1","65.2","正常赛果 / Expected result","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"8","2026-06-14","D","Australia","Türkiye","2-0","H","32.3","27.9","39.8","32.3","轻度爆冷 / Minor upset","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"9","2026-06-14","E","Germany","Curaçao","7-1","H","76.7","19.1","4.1","76.7","正常赛果 / Expected result","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"10","2026-06-14","F","Netherlands","Japan","2-2","D","44.0","26.8","29.2","26.8","中等爆冷 / Moderate upset","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"11","2026-06-14","E","Ivory Coast","Ecuador","1-0","H","29.2","26.8","44.0","29.2","中等爆冷 / Moderate upset","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"12","2026-06-14","F","Sweden","Tunisia","5-1","H","41.5","27.4","31.1","41.5","正常赛果 / Expected result","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"13","2026-06-15","H","Spain","Cabo Verde","0-0","D","75.4","19.4","5.2","19.4","重大爆冷 / Major upset","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"14","2026-06-15","G","Belgium","Egypt","1-1","D","52.3","24.7","23.0","24.7","中等爆冷 / Moderate upset","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"15","2026-06-15","H","Saudi Arabia","Uruguay","1-1","D","10.7","21.0","68.3","21.0","中等爆冷 / Moderate upset","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"16","2026-06-15","G","Iran","New Zealand","2-2","D","74.3","19.7","6.0","19.7","重大爆冷 / Major upset","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"17","2026-06-16","I","France","Senegal","3-1","H","45.7","26.3","27.9","45.7","正常赛果 / Expected result","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"18","2026-06-16","I","Norway","Iraq","4-1","H","56.9","23.6","19.5","56.9","正常赛果 / Expected result","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"19","2026-06-16","J","Argentina","Algeria","3-0","H","57.5","23.5","19.0","57.5","正常赛果 / Expected result","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"20","2026-06-17","J","Austria","Jordan","3-1","H","65.2","21.7","13.1","65.2","正常赛果 / Expected result","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"21","2026-06-17","K","Portugal","DR Congo","1-1","D","66.2","21.4","12.3","21.4","中等爆冷 / Moderate upset","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"22","2026-06-17","L","England","Croatia","4-2","H","41.5","27.4","31.1","41.5","正常赛果 / Expected result","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"23","2026-06-17","L","Ghana","Panama","1-0","H","13.1","21.7","65.2","13.1","重大爆冷 / Major upset","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
"24","2026-06-17","K","Uzbekistan","Colombia","1-2","A","14.0","22.0","64.0","64.0","正常赛果 / Expected result","model_only_initial_prior","待补充赛前收盘赔率与正式 Elo 后重新校准"
